Column,"Two Rivers
101.31 acres, Nairobi","Pearl Marina
389 acres, Garuga","Vipingo
10,254 acres, Kilifi"
Acquire Land,,,
"Master Plan and Obtain
Approvals",,,
"Attract Investors at
Development Level",,Discussions Underway,Discussions Underway
"Develop Trunk
Infrastructure",,,"Phase 1 to commence
in FY 2018"
"Develop Strategic In fill
Developments",,,"Anchor developments
to commence in FY
2018"
"Avail Construction
Ready Sites/ Bulk Land
Sales",,,
"Provide Urban
Management",,-,-
"Significant focus on asset monetisation through sales of construction-ready sites and bulk
land sales across the portfolio",,,
