Kshs. m,"H1
09/10","H1
08/09",Var
Investment Income,63,281,(77%)
Operating & Admin costs,(77),(45),74%
Finance costs,(26),(12),110%
Share of associate earnings,154,183,(16%)
Profit before tax,114,407,(72%)
Profit after tax,73,356,(79%)
Other Comprehensive income,231,(299),(177%)
Total Comprehensive income,304,57,429%
