"Item included in the
statement of financial
position",Measurement principle,"Item included in the
statement of financial
position",Measurement principle
Assets,,,
Biological assets,Fair value less cost to sale,Quoted investments,"Fair value through other
comprehensive income"
Investment properties,Fair value,Loans and advances,Amortised cost
Goodwill,Historical cost less impairment losses,"Cash and cash
equivalents",Amortised cost
Intangible assets,"Historical cost less accumulated
amortisation and impairment losses","Receivables and
prepayments",Amortised cost
Deferred tax assets,"Undiscounted amount measured at
the tax rates that have been enacted
and are expected to apply to the
period when the asset is realised.","Government securities,
corporate bonds and
commercial papers","Fair value through profit and
loss, and fair value through
other comprehensive income"
"Investments in
associates and joint
ventures","Group: Cost adjusted for share
of movements in net assets less
impairment losses. Company: Fair
value based on price of a recent
transaction or earnings multiples of
comparable","Current income tax
recoverable","Amount expected to be
recovered from tax authorities,
using tax rates that have been
enacted or substantively
enacted at the reporting date."
Unquoted investments,"Fair value based on price of a recent
transaction or earnings multiples of
comparable companies or cost.","Investment in
subsidiaries","Company: Fair value based
on recent transactions or price
multiples, or net asset value"
Liabilities,,,
Customer deposits,Amortised cost,Deferred income,Nominal value
"Deferred income tax
liabilities","Undiscounted amount measured at
the tax rates that have been enacted
and are expected to apply to the
period when the liability is settled.","Current income tax
liabilities","Amount expected to be
recovered from tax authorities,
using tax rates that have been
enacted or substantively
enacted at the reporting date."
Provisions,"Present value of the best estimate of
the settlement amount",Payables and accruals,Amortised cost
,,Bank overdraft,Amortised cost
