Centum 4.0 Objective,Progress (FY2020-2022)
"Return and Dividend payout:
1. Generate 20% annualized return and grow Net
Asset Value (NAV) to Ksh 70 billion by FY2024
2. Distribute to shareholders a minimum of 30% of
annuity cash income.","NAV at Ksh 41.3 billion 31 March 2022 was against the
strategy target of Ksh 47.6 billion.
Declared dividend of Ksh 1.4 billion against the target
of Ksh 1.6 billion between FY20 and FY22."
"Capital structure and liquidity:
1. Repay long-term debt and reduce leverage
2. Enhance high yield portfolio to generate
sustainable annuity cash to cover fixed
obligations","Ksh 13 billion of the long term debt was repaid.
Outstanding debt was Ksh 16 billion in March 2019.
We reduced contingent liabilities by Ksh 2.7 billion.
Annuity cash income fully covered operating costs and
finance cost, translating to an operating profit of Ksh
551 million, 125% up from Ksh 245 million in FY2021."
"Operating costs
1. Maintain operating costs below 30% of annuity
income earned","39% cost-to-income ratio achieved, an improvement
from 44% in the prior year."
"Portfolio focus
1. Allocate 75%-80% of assets to growth portfolio
(PE & RE)
2. Scale up marketable securities portfolio (MSP)
to 20% - 30% of total portfolio","Ongoing initiatives to take advantage of the unique
opportunity in our real estate business has to address
the growing demands in the mid-market housing
market will further unlock value of the real estate
businesses.
Optimisation of the capital structure of TRDL through
an equity fund raise will be incidental to this value
creation strategy and will rebalance allocation within
the growth portfolio as well increase MSP for enhanced
sustainable annuity income.
MSP value stood at Ksh 7.25 billion, representing 15%
of total portfolio against our strategic target allocation
of 20% - 30%."
