Name,"Executive/
Non
-Executive",Role,Column,Board,Audit,Risk,"Nomination
and
Governance","Finance
and
Investment"
"Dr. Donald
Kaberuka","Non-
Executive",Chairperson,Membership,Y,N,N,N,N
,,,Attendance,3/3,-,-,-,-
"James
Mworia",Executive,Group CEO,Membership,Y,N,N,N,N
,,,Attendance,3/3,-,-,-,-
"Andrew
Musangi","Non-
Executive",Chair-FIC,Membership,Y,N,N,Y,Y
,,,Attendance,3/3,-,-,3/3,3/3
"Dr. Laila
Macharia","Non-
Executive","Vice -
Chairlady",Membership,Y,Y,Y,Y,Y
,,,Attendance,3/3,5/5,3/3,3/3,3/3
"William
Byaruhanga","Non-
Executive","Board
member",Membership,Y,N,N,N,N
,,,Attendance,3/3,-,-,-,-
"Susan Wakhungu
Githuku","Non-
Executive",Chair- NGC,Membership,Y,N,N,Y,Y
,,,Attendance,3/3,-,-,3/3,3/3
"Catherine
Igathe","Non-
Executive",Chair-Risk,Membership,Y,Y,Y,Y,Y
,,,Attendance,3/3,5/5,3/3,3/3,3/3
"Catherine
Mturi- Wairi","Non-
Executive",Chair- Audit,Membership,Y,Y,Y,N,N
,,,Attendance,3/3,5/5,3/3,-,-
"Dr. Moses
Ikiara","Non-
Executive","Board
member",Membership,Y,Y,Y,Y,Y
,,,Attendance,3/3,5/5,3/3,3/3,3/3
"Norah Ratemo
(alternate to Kenya
Development
Corporation,
a substantive
director with effect
from 1st January
2023)","Non-
Executive","Board
member",Membership,Y,Y,N,N,N
,,,Attendance,3/3,5/5,3/3,-,_
"Y – Member of the Committee
N – Not a member of the Committee
NGC – Nominations and Governance Committee Meeting
FIC – Finance and Investment Committee Meeting",,,,,,,,
