Segmented Group Performance,Column,Column,Column,Column,Column
KES (Mn) ‘M’,Performance,,,Carrying value,
,March ‘17,March ‘16,Change,March ‘17,March ‘16
,,,,Asset Valuation,
Growth portfolio,,,,"21,734","24,861"
Gross income,"13,479","12,190",11%,,
Share of associates profits,"1,347","1,074",25%,,
Realized gains on disposal,948,"1,286",-26%,,
Direct and other operating costs,"(11,633)","(10,887)",7%,,
Profit before tax,"4,142","3,663",13%,,
Marketable securities and equity investments (<20% stake),,,,"9,473","6,127"
Investment income,743,"1,218",-39%,,
Realized gains,85,980,-91%,,
Portfolio costs,(84),(55),52%,,
Profit before tax,744,"2,143",-65%,,
Real estate,,,,"25,998","17,100"
Unrealized gains,"6,452","5,119",26%,,
Realized gains,13,"3,318",-100%,,
Profit before tax,"6,465","8,437",,,
Development portfolio,,,,"4,365","3,456"
Income,135,54,,,
Portfolio costs,(272),(62),,,
Profit before tax,(137),(8),,,
Total portfolio profitability,"11,214","14,235",-23%,,
Group operating and admin costs,"(1,222)","(1,380)",-11%,,
Group finance cost,"(1,048)","(1,982)",-47%,,
Profit before tax,"8,943","10,873",-18%,"61,570","51,543"
Profit after tax,"8,310","9,948",-16%,,
