Column,Group,Column,Company,Column
Kes. m,2012,2011,2012,2011
Assets:,,,,
Portfolio value,"11,181","11,989","14,694","14,462"
Cash &cash equivalents,322,7,317,6
Other assets,65,305,710,536
,"11,568","12,302","15,721","15,004"
Equity & Liabilities:,,,,
Shareholder funds,"10,041","9,559","13,685","12,552"
Borrowings,"1,000","1,988","1,000","1,988"
Other liabilities,527,755,"1,036",464
,"11,568","12,302","15,721","15,004"
