Kes. M,2009,2010,2011,2012,2013,2014
AUM,"5,930","9,015 14,463 15,994 21,700 147,190",,,,
Centum Portfolio,"5,930","9,015 14,463 14,694 19,307",,,,"29,356"
3rd Party Funds,-,"- - 1,300 2,393",,,,"117,834"
NAV(Kes. m),"5,859","9,157 12,552 13,675 16,137",,,,"22,936"
Total Return (Kes. m),"(2,980)","3,297 3,418 1,133 2,451",,,,"6,800"
Total return (%),(37%),56% 37% 9% 18%,,,,42%
