"2,908,144","(6,251,325)","277,624","207,344"
"872,443
(9,232)
(401,743)
673,637
(189,420)
(19,796)
-
(621,485)","(1,875,398)
(57,453)
334,120
2,520,597
11,833
(10,699)
140,265
-","83,287
-
(132,488)
15,016
(244,160)
-
-
-","62,203
-
(57,565)
263,545
-
-
-
-"
"304,404","1,063,265","(278,345)","268,183"
"631,400","39,443","813,867",-
"189,420","11,833","244,160",-
