"Gr
2025
Ksh’000
449,196","up
2024
Ksh’000
290,247"
"449,196","290,247"
"(45,088)","(19,067)"
"404,108","271,180"
"16,727
13,437
419,032","137,156
45,432
107,659"
"449,196","290,247"
"19,067
35,140
(9,119)","6,732
12,335
-"
"45,088","19,067"
"35,140
-","720,053
(12,120)"
"35,140","707,933"
