Name,"Executive/
Non -
Executive",Role,Column,Board,Audit,Risk,"Nomination
and
Governance","Finance
and
Investment"
"Dr. Donald
Kaberuka",Non-Executive,Chairman,Membership,Y,N,N,N,N
,,,Attendance,5/6,-,-,-,-
"Dr. James
Mworia",Executive,Group CEO,Membership,Y,N,N,N,Y
,,,Attendance,6/6,-,-,-,3/3
"Andrew Musangi
alternate
Dr. Christopher
Kirubi (Substan-
tive Director with
effect from 26
July 2021)",Non-Executive,"Chair-
Finance
and
Investment
Committee",Membership,Y,N,N,Y,Y
,,,Attendance,6/6,-,-,3/3,3/3
"Dr. Laila
Macharia",Non-Executive,"Chair-
Nomination
and
Governance
committee",Membership,Y,Y,Y,Y,Y
,,,Attendance,6/6,4/4,3/3,3/3,3/3
"William
Byaruhanga",Non-Executive,"Board
member",Membership,Y,N,N,N,N
,,,Attendance,6/6,-,-,-,-
"Susan
Wakhungu
Githuku",Non-Executive,"Board
member",Membership,Y,N,N,Y,Y
,,,Attendance,6/6,-,-,3/3,2/3
Catherine Igathe,Non-Executive,"Chair-Risk
Committee",Membership,Y,Y,Y,Y,Y
,,,Attendance,6/6,4/4,3/3,3/3,3/3
Mary Ngige,Non-Executive,"Chair- Audit
Committee",Membership,Y,Y,Y,N,N
,,,Attendance,2/6,3/4,3/3,-,*1/3
Dr. Moses Ikiara,Non-Executive,"Board
member",Membership,Y,Y,Y,Y,Y
,,,Attendance,6/6,4/4,3/3,3/3,3/3
"Christopher
Huka (alternate
to Kenya
Development
Corporation,
a substantive
director with
effect from
24th September
2021)",Non-Executive,"Board
member",Membership,Y,Y,N,N,Y
,,,Attendance,3/6,2/4,1/3,-,1/3
