KEY FOCUS AREAS,BRIEF DESCRIPTION,RESPONSE
PROJECT EXECUTION,"This is the risk associated with;
• Lack of a well-defined and
documented project scope that
can lead to scope creep;
• Project delays leading to
budget overruns;
• Inadequate human resource
staffing for the project; and
• Lack of a project monitoring
mechanism such as a project
plan to track progress of
project activities","• Composition of diversified project teams in terms of skills
and experience
• Monthly portfolio monitoring to identify any risk
exposures and possible delays in time, scope creep and
budget overruns
• Standardized project management review and reporting"
"INTERNAL
OPERATIONS","Risks that arise from failed internal
controls, functional errors or
malfunctions arising from people,
processes, systems and external
events.
These include;
• Failure to meet ethical and
governance principles
• Information technology failures;
• Fraud and security breaches;
• Loss of key employees; and
• Natural disasters","• Development of a succession plan
• Independence of the Risk and Internal Audit departments
• Communication to all staff on policies and procedures
that they should abide by"
COMPLIANCE,"This is the risk that our business
may be adversely affected by:
• New laws / regulations
affecting our core business;
• Ongoing litigation against us,
our subsidiaries or associates","• Compliance checks for all entities conducted monthly
• Training of staff on any regulatory changes
• Proactive engagement with regulators on any changes in
the business"
"STAKEHOLDER
ENGAGEMENT","The risk of a negative impact that
can result from the deterioration
of Centum reputation among
stakeholders and general public
resulting to;
• Revenue loss;
• Reduced client loyalty;
• Litigation, regulatory sanction
or additional oversight; and
• Declines in Centum’s share
price","• Introduction of an investor relations office for Group
• Ensuring timely disclosure of material information to all
stakeholders
• The Board and management constantly monitor and
address issues that can adversely impact Centum’s
reputation"
