Stakeholder,Importance to Centum,Material topics of interest to them,"Level of
interest"
Employees,"Contribute to business growth, day-to-day
operations, and relationships with external
stakeholders","• People development
• Diversity and inclusion
• Governance, business conduct, and
ethics
• Employee safety and health
• Human rights
• Employee wellbeing",High
Customers,"Critical to the growth of portfolio companies
and value creation","• Human rights, including consumer
protection
• Climate change
• Governance, business conduct, and
ethics",High
Suppliers,"Provide essential support services, products
required for business operations","• Governance, business conduct, and
ethics
• Human rights",Medium
"Shareholders &
investors","Provide funding for investment
opportunities. Also involved in governance
and influencing key decisions through
voting","• Governance, business conduct, and
ethics
• Climate change
• People development
• Human rights
• Economic performance",High
"Government
and regulators","Critical to the continued growth and
success of Centum and portfolio
companies","• Governance, business conduct, and
ethics
• Climate change
• Economic performance","Low-to-
medium"
"Local
Communities","Key to safeguarding social licence to
operate","• Local community development
• Climate change
• Human rights","Low to
medium"
Media,"A platform to create awareness about
Centum and engage with external
stakeholders","• Climate change
• Governance, business conduct, and
ethics
• Human rights
• Economic performance",High
