Terms,Description,Column
"Series
amounts","1. Unsecured Fixed Rate
Note
2. Equity Linked Fixed Rate
Note","1.944 Bn
1.250 Bn"
Pricing,"1. Unsecured Fixed Rate
Note
2. Equity Linked Fixed Rate
Note","13.5%
12.5% with an
equity upside
provision
(depending on the
reported NAV of
Centum during
relevant periods
subject to a
maximum upside of
15% of the principal
amount)"
Rating,The issue was rated A- by GCR,
Tenor,5 years for both notes,
Listing,"Application made to CMA and
NSE. We are awaiting the listing
approval",
