NAME,"Executive/
Non-Executive",Role,Column,Board,Audit,Risk,"Nomination
and
Governance","Finance
and
Investment"
,Non- Executive,Chairman,Membership,Y,N,N,N,N
,,,Attendance,1/4,-,-,-,-
,Executive,Group CEO,Membership,Y,N,N,N,Y
,,,Attendance,5/5,6/6,5/5,4/4,4/4
,Non-Executive,Chair-FIC,Membership,Y,N,N,Y,Y
,,,Attendance,4/4,-,-,4/4,4/4
,Non-Executive,"Chair-
Nomination
and
Governance",Membership,Y,Y,Y,Y,Y
,,,Attendance,3/4,4/6,5/5,4/4,4/4
,Non-Executive,"Board
member",Membership,Y,N,N,N,N
,,,Attendance,"0/4
_",-,-,-,-
,Non-Executive,"Board
member",Membership,Y,N,N,Y,Y
,,,Attendance,4/4,-,-,3/4,3/4
,Non-Executive,Chair-Risk,Membership,Y,Y,Y,Y,Y
,,,Attendance,3/4,4/6,5/5,4/4,3/4
,Non-Executive,Chair- Audit,Membership,Y,Y,Y,N,N
,,,Attendance,4/4,6/6,4/5,-,4/4*
,Non-Executive,"Board
member",Membership,Y,Y,Y,Y,Y
,,,Attendance,4/4,6/6,5/5,4/4,4/4
,Non-Executive,"Board
member",Membership,Y,Y,Y,N,Y
,,,Attendance,4/4,4/6,2/5,-,2/4
