Column,Key Risk Category,Risk Description,Potential Impact,"Risk Management
And Mitigation"
Real Estate Portfolio,"Market Uptake
Risk","Risk of less than
expected sale
of houses under
development and land
development rights",Return,"Ramp up in marketing
efforts, market validation
through pre-selling and
development of affordable
products"
,"Funding
Risk","Risk that there will be
inadequate project
construction funds",Return,"Market validation before
start of projects and
securing both equity and
debt funding prior to or
immediately after ground
breaking."
,Liquidity,"Risk of inability to
meet obligations
as they fall due or
fulfilling obligations
while incurring high
finance costs",Return,"Accelerating the pace of
monetising the land bank
through bulk sales and infill
projects"
"Private Equity
Portfolio","Financial
Risk","Slow response by
limited partners in
committing to Fund II","Delayed
Acquisitions","Targeting a large number of
limited partners across Africa
and Europe.
Scanning for Capital-light
investments"
,"Operational
Risk","The possibility that
there may not be
many opportunities
meeting the Fund II
investment criteria","Delayed
Acquisitions","Screening a larger number
of target acquisitions
and leveraging on our
relationships within East
Africa with a refreshed
investment criteria."
,Exit Risk,"The risk of lower
realizations from exits
due to unfavorable
industry/private equity
market dynamics
or lack of credible
investors.","Lower cash proceeds
redistributed to the
Company","Maintaining multiple
potential exit relationships"
Marketable Securities,"Return
Risk","The possibility that
the MSP I and MSP II
portfolios achieve less
than expected returns","Lower cash proceeds
redistributed to the
Company","Disciplined portfolio
construction guided by the
Investment Policy statement,
currently skewed towards
Fixed Income Instruments
with good credit ratings and
liquidity profile"
