Column,Shilingi (k) millioni 420,Shilingi (k) billioni 2.92,Shilingi (k) billioni 1.74
,Shilingi (k) millioni 30,Shilingi (k) millioni 30,Shilingi (k) billioni 1.51
,___,Shilingi (k) millioni 216,Shilingi (k) billioni 4.39
Jumla,Shilingi (k) 450,Shilingi (k) billioni 3.17,Shilingi (k) billioni 7.6
