Financial Position,Column,Column,Column
Asset value,"15,003","9,840","6,397"
Net Asset Value (NAV),"12,552","9,157","5,859"
NAV/Share,20.75,15.14,9.69
Net Debt,"1,988",-,-
Gearing,15.8%,-,-
