Mwaka,"Faida ya
Centum","Faida ya
NSE",Tofauti
2010,56%,43%,13%
2011,37%,-4%,41%
2012,9%,-13%,22%
2013,19%,44%,-26%
2014,42%,2%,40%
Kwa wastani,31%,12%,19%
"Kwa kuju-
muishwa",291%,75%,216%
