SIDIARY,"HOW SUBSIDIARY BUSINESS CONTRIBUTES TO CENTUM’S
SUSTAINABILITY/ESG AGENDA"
,"Encourages clients to align their investments with life goals like education, health, and philanthropy,
reflecting broader social goals beyond just financial returns.
Focuses on socially responsible investors looking for superior financial returns by investing in a de-
risked portfolio in volatile markets.
Promotes financial inclusion by offering retail access from as little as Ksh 100,000."
,"Hosts Innovation for Entrepreneurs to support and accelerate the growth of small businesses
and start-ups, thus contributing to economic growth and job creation. Also, supported Chanzo
ONESPACE Startup and Scaleup Accelerator (COSSA), investing in high-tech startups.
North Tower achieved EDGE certification in September 2024 for energy efficiency and water
conservation (25% energy savings; 23% less water used), in addition, reduced carbon footprint (58%
less carbon materials in construction). ."
,"“Green by Design” is an environmentally conscious concept where minimum of 30% of the
developments is dedicated to green spaces.
Carbon footprint reduction mainly through the adoption of solar power technology.
Energy efficiency by embracing energy-saving technology within the premises.
Water desalination at Vipingo conserves natural fresh water resources. Also, 85 per cent of
wastewater at Two Rivers is recycled and reused within the facility."
