Group,Column
2018,2017
Ksh’000,Ksh’000
"6,022,022","5,638,783"
"1,738,828","1,223,152"
"(5,959,928)","(12,452,772)"
"(18,503,640)","(8,533,606)"
"(16,702,718)","(14,124,443)"
