Title of standard,IFRS 16 Leases
Nature of change,"IFRS 16 was issued in January 2016. It will result in almost all leases being recognised on the
balance sheet, as the distinction between operating and finance leases is removed. Under the
new standard, an asset (the right to use the leased item) and a financial liability to pay rentals are
recognised. The only exceptions are short term and low-value leases.
The accounting for lessors will not significantly change."
Impact,"The Group expects that the new standard will primarily affect its accounting for operating leases,
in particular those relating to its property and equipment.
As at the reporting date, the Group did not have any significant non-cancellable operating
lease commitments.
Some of the commitments may be covered by the exception for short-term and low value leases
and some commitments may relate to arrangements that will not qualify as leases under IFRS 16.
The new standard contains enhanced disclosure requirements for both lessees and lessors."
Date of adoption by group,"Mandatory for financial years commencing on or after 1 January 2019. At this stage, the Group
does not intend to adopt the standard before its effective date."
