Column,FY2014,Column,FY2015,Column,FY2016,Column,FY2017,Column,HY18
Cash,,0.2,,3.7,,3.9,,2.4,0.3
Net Debt,,5.3,,3.9,,6.6,,12.2,12.6
LT Debt to equity,,18%,,24%,,27%,,31%,25%
