Column,FY15,FY16,FY17,FY18,Column
Net Debt (Total debt less cash),"3,896","6,559","12,209","13,765","15,892"
Equity (Net Asset Value),"31,939","39,314","44,808","48,686","52,600"
Net Debt to Equity,12%,17%,27%,28%,30%
Long Term Debt to Equity,24%,27%,31%,26%,30%
