Almasi Beverages Limited,53.88%,FMCG,"9,851","8,697",FV3: Multiples -EV1/EBITDA,6.94x
Nairobi Bottlers Limited,27.60%,FMCG,"6,912","5,078",FV3: Multiples -EV1/EBITDA,6.94x
SidianBank Limited,77.02%,Financial Services,"3,315","3,891",FV3: Multiples P/B2,1.16x
Isuzu (E.A.) Limited,17.80%,“Others”,"2,021","2,470",FV3: Recent price,
GenAfricaLimited,73.35%,Financial Services,-,"2,324",Exit Completed,
Nabo Capital Limited,100.00%,Financial Services,522,494,Net Asset Value,
NAS Servair,15.00%,“Others”,882,856,FV3: Multiples,4.19x
Longhorn Kenya Limited,60.20%,“Others”,"1,040",763,Market price,
Centum Business Solutions Limited,100.00%,“Others”,855,408,Net Asset Value,
Zohari Leasing Limited,100.00%,Financial Services,266,213,Net Asset Value,
"Others (PPE, Receivables)",,,155,113,,
Total,,,"25,819","25,307",,
