Group,Column
2018,2017
Ksh’000,Ksh’000
"2,027,254","2,289,815"
-,"(14,474)"
"121,058","(35,094)"
"9,332","(212,993)"
"4,640",-
"2,162,284","2,027,254"
"(460,088)","(237,282)"
"2,622,372","2,264,536"
"2,162,284","2,027,254"
