PILLAR,UN SDG,Why it matters to us
"Education
1.",,"Ensures inclusive and equitable quality education and
promotes lifelong learning opportunities for all"
"Gender equality
2.",,"We acknowledge that gender diversity has a positive impact
on the performance of teams and businesses as a whole"
"Infrastructure
3.",,"Rapid urbanization in Kenya as is across many African
cities, has huge implications for water use and wastewater
management.
Clean, affordable and reliable energy sources enhance the
quality of life and support growth of enterprises"
"Housing
4.",,"We appreciate the need to develop safe and affordable
housing developments with a view to enhancing inclusive
and sustainable urbanization."
"Entrepreneurship
5.",,"Sustainable economic growth is driven by inclusive, full and
productive employment and decent work for all"
