Company,"Country of
incorporation",Classification,"Operation
segment","Percentage
ownership",Principal activity
"Greenblade Growers
Limited",Kenya,Trading,"Private
equity",100%,Agricultural production and export.
"Shefa Holdings
Limited",Mauritius,"Investment
operations","Private
equity",100%,Private equity investments.
Zohari Credit Limited,Kenya,"Financial
services","Private
equity",100%,Leasing services.
"Elimu Holdings
Limited",Mauritius,"Investment
operations","Private
equity",58.3%,"Investment holding company. The company has
invested in the educational sector."
"Longhorn Publishers
Plc",Kenya,Trading,"Private
equity",60.2%,"Public limited liability company involved in
publishing and distribution of learning materials
in Kenya and East Africa."
Tier Data Limited,Kenya,IT Services,"Private
equity",100%,Provision of IT services.
Tribus TSG Limited,,"Investment
operations","Private
equity",100%,"Training, security, governance consultancy
services and facilities management."
"Two Rivers Land
Company (SEZ)
Limited",Kenya,"Investment
operations","Private
equity",80.5%,"This is an infrastructure development company
associated with a functional Special Economic
Zone.The company holds 100% stake in Two
Rivers Property Owners Company Limited and
Two Rivers International Finance and Innovation
Centre."
"Akiira Geothermal
Limited",Kenya,"Investment
operations","Private
equity",100%,"This is a Geothermal power development
company."
