Investment class,"Income recognition in the Statement of
Comprehensive Income","Assets and Liabilities recognition in the
Statement of Financial Position"
"Subsidiaries- More than 51%
equity ownership","Line by line consolidation of income and
expenses. All intercompany transactions
are eliminated on consolidation","Line by line consolidation of assets and liabilities.
All intercompany assets and liabilities are
eliminated on consolidation"
"Joint ventures – 50% equity
ownership and joint control.","Fair value gain on recognition of joint
venture on initial recognition and
subsequently share of joint venture’s
earnings",Share of net asset value of joint ventures
"Associates - More than 20%
but less than 51%",Share of associate company earnings,Share of net asset value of joint ventures
"Other equity investments-
Less than 20% equity stake",Dividend income earned,Fair value of equity investment
Investment property,"Unrealised movements in property
valuation","Fair value based on annual valuations by
independent external valuers"
