Kshs. m,Sept’10,Sept’09
Fair value gain(Loss) in Quoted Investments,51,166
Fair value gain(Loss) in Unquoted Investments,134,-
Fair value gain(Loss) on Investment in Subsidiaries,352,-
Fair value gain(Loss) on Investments in Associates,571,76
Reserves released on disposal of investments,(490),(1)
,618,241
