Column,Directors,Column,Column,Related companies,Column,Column,Column,Column
,,"Aon Minet Insurance
Brokers Ltd.","KWA
Holdings Ltd.","Mount Kenya
Bottlers Ltd.","Rift Valley
Bottlers Ltd.","UAP
Holdings Ltd.","Kiisii
Bottlers Ltd.","General
Motors EA Ltd."
1,ICDC,20.0%,72.7%,19.0%,29.3%,-,45.1%,20.0%
2,Christopher John Kirubi,-,-,-,-,16.8%,-,-
3,James N. Muguiyi,-,-,-,-,10.5%,-,-
