KES Million,2014,2013,2012,2011,2010
Portfolio income,"1,273",339,208,185,150
unrealized Gains,480,"1,128",(153),221,"1,062"
Gross Return,"1,753","1,467",55,406,"1,212"
Total Return,"1,644","1,235",(65),320,"1,141"
Gross return (%),35.2%,59.3%,1.4%,11.5%,53.2%
Total return (%),33.0%,49.9%,(1.7%),9.1%,50.1%
"Closing portfolio
value","5,025","3,748","2,146","3,940","3,487"
