Kshs. m,Sep’10,Sep’10
Fair value gain(Loss) in Quoted Investments,406,166
Fair value gain(Loss) in Unquoted Investments,134,-
Share of other comprehensive income in associates,73,64
Reserves released on disposal of investments,(490),(1)
,123,229
