KES million,Mar 2016,Mar 2015
Bond I – Fixed Rate 13.50% and equity-linked notes 12.75%,"4,425","4,252"
Bond II – Fixed Rate 13.00% and equity-linked notes 12.50%,"6,050",-
USD 35 Million Bridge Financing Facility,-,"3,317"
Total Borrowings,"10,475","7,569"
Cash,"3,916","3,230"
Net Debt (Total debt less cash),"6,559","7,118"
Gearing,16%,21%
