"Bakki
Holdco
Limited
2025
Ksh’000
-
-","Two Rive
Centre
2025
Ksh’000
15,564
4,290,535","rs Lifestyle
Limited
2024
Ksh’000
25,026
3,905,108","Two Rive
Park Li
2025
Ksh’000
7,543
30,432","rs Theme
mited
2024
Ksh’000
2,391
46,876"
-,"4,306,099","3,930,134","37,975","49,267"
"2,189,296
(49,381)
(564)","10,223,942
(5,285,858)
(898,171)","12,234,152
(12,837,547)
(5,924,230)","529,797
(1,437,952)
(23,696)","572,904
(1,163,504)
(39,553)"
"(49,945)","(6,184,029)","(18,761,777)","(1,461,648)","(1,203,057)"
"(82,114)","(11,601,158)","(191,834)","(24,076)","(24,076)"
"(82,114)","(11,601,158)","(191,834)","(24,076)","(24,076)"
"2,057,237","(3,255,146)","(2,789,325)","(917,952)","(604,962)"
"95,876
-
-
(4,733)
(97,863)
-","857,834
-
(22,609)
(488,460)
-
830,904","658,283
-
(63,740)
(501,640)
-
-","105,647
(77,750)
(53,677)
(7,963)
(29,492)
-","108,525
(59,210)
(56,751)
(10,127)
-
-"
"(6,720)
-
-
(6,720)","1,177,669
(632,678)
-
544,991","92,903
(764,986)
-
(672,083)","(63,235)
(249,757)
-
(312,992)","(17,563)
(23,242)
603
(40,202)"
"(6,720)","544,991","(672,083)","(312,992)","(40,202)"
"-
-
-
-","48,079
-
31,764
78,546","(747,309)
1,060,432
(290,349)
15,475","22,719
(10,568)
(7,000)
2,391","17,569
-
(15,968)
790"
-,"158,389","38,249","7,542","2,391"
