"(2,332,211)",Column,"(826,471)"
"(699,663)
(41,553)
(630,140)
-
947,098
(351,130)
(188,908)","1,633,834
(199,611)
(1,186,989)
-
15,480
555,082
-","(247,941)
(41,553)
-
-
328,060
(69,529)
(188,908)"
"(964,296)","817,796","(219,871)"
"(1,170,433)","1,850,273","(231,763)"
"(351,130)","555,082","(69,529)"
