Sector,Weight,Multiple,Column
Financial Services,18%,Price-to-Book,1.40x
Real Estate,37%,Price to Book,1.0x
FMCG,20%,EV/EBTDA,4.12x
,,Price/Earnings (P/E),9.6x
Energy,7%,Cost,-
Agribusiness,0.25%,Cost,-
Other sectors,12%,EV/EBTDA,7.54x
,,Price/Earnings (P/E),8.44x
