Company,"Country of
incorporation",Classification,Principal activity
Shefa Holdings Limited,Mauritius,"Investment
operations",Private equity investments
Zohari Leasing Limited,Kenya,"Financial
services",Leasing services
Mvuke Limited,Kenya,"Investment
operations","Investment holding company for Akiira
Geothermal Limited."
eTransact Limited,Kenya,"Investment
operations",Dormant entity
Centum BVI Limited,"British Virgin
Islands","Investment
operations",Dormant entity
"Mwaya Investment Company
Limited",Mauritius,"Investment
operations",Private equity investments
Longhorn Publishers Limited,Kenya,Trading,"Public limited liability company involved in
publishing and distribution of learning materials in Kenya
and East Africa."
Tribus TSG Limited,Kenya,"Investment
operations","Training, security and governance
consultancy services."
