KES Mn,HY 2017,FY 2016
Borrowings,"13,967","10,475"
Trade and Payables,96,571
Dividends Payable,672,7
Deferred Income Tax,"1,296","1,176"
Total Liabilities,"16,031","12,229"
Shareholder Funds,"40,669","39,314"
Equity and Liabilities,"56,700","51,543"
