"Gr
2024
Ksh’000
1,545,370
485,439
564,219","up
2023
Ksh’000
1,258,239
325,887
353,612","2024
Ksh’000
-
-
-","Company
2023
Ksh’000
-
-
-"
"2,595,028","1,937,738",-,-
"3,737,397","1,931,525",-,-
"230,192
34,625
49,357","161,274
25,424
48,168","-
-
-","-
-
-"
"314,174","234,866",-,-
"761,107
186,080
50,563","1,324,636
91,529
49,359","-
-
-","-
-
-"
"997,750","1,465,524",-,-
"231,145
(16,298)
89,103","235,740
(63,286)
(236,689)","250,644
468,091
2,456","255,740
(29,444)
39,422"
"303,950","(64,235)","721,191","265,718"
"7,948,299","5,505,418","721,191","265,718"
