Group,Column
2018,2017
Ksh’000,Ksh’000
"4,135,409","4,477,705"
"236,978","532,686"
-,-
"(150,544)","(277,326)"
"81,149","633,998"
"(294,863)",-
-,-
-,"(284,101)"
"(1,262,140)","(947,553)"
-,-
"2,745,989","4,135,409"
