"Centum's Portfolio Summary –
30 Sep 2024",Nature of Business,Sector,Stake,Equity Value,Shareholder loans,Total Carrying Value,Valuation Method
,,,,Kes Mn,Kes Mn,Kes Mn,
Two Rivers Land Co. SEZ Ltd,"Development of Grade A offices and residential units within TRIFIC
SEZ targeting export-oriented service enterprises for rent in USD and
subsequent sale at a cap rate.",Service,80.5%,"9,442","1,605","11,047",Recent transaction price
Centum Real Estate (Land Co),Sale of development rights in master-planned mixed use,Real Estate,100%,"17,976","5,248","23,224",Fair value of property
Centum Real Estate (Dev Co),Development and sale of residential units across Kenya and Uganda,Real Estate,100%,-,"1,566","1,566",Cost
Akiira Geothermal,Geothermal power development,Power,75%,,"1,058","1,058",Cost
Sidian Bank,Banking,Financial Services,20%,844,45,889,Recent transaction price
NAS Servair,Airline Catering,Service,15%,"1,129",-,"1,129",EBITDA Multiple
Isuzu East Africa,Automotive assembly,Manufacturing,17.8%,"2,797",-,"2,797",EBITDA Multiple
Longhorn Publishers,Books publisher,Consumer,60.2%,426,-,426,Market Price
Jafari Credit,Civil servants payrol lending,Financial Services,100%,897,258,"1,156",Fair value of loan book
Nabo Capital,Fund manager,Financial Services,100%,470,14,485,Net Asset Value
Green Blade Growers,Horticulture farming for export,Agribusiness,100%,160,167,327,Net Asset Value
Tribus Group,Security and facilities management,Service,80%,210,0,210,Net Asset Value
ACE Holdings,Holdco fo SABIS Int'l school in Nairobi,Education,16.4%,429,13,442,Cost
Tier Data,ICT infrastructure and services,ICT,100%,-,26,26,Cost
Others,Centum Capital partners and SPVs,Service,100%,-,26,26,Cost
Total Growth Portfolio,,,,"34,780","10,027","44,807",
Marketable Securities,Diverse portfolio of fixed income securities,"Fixed Income
Securities",100%,"1,276",507,"1,783",Market Price
Grand Total,,,,"36,056","10,534","46,590",
