KES millions,Sep-18,Sep-17,Change (%)
Dividend income,144,86,67%
"Realised gains on disposal
(GenAfrica)","1,155",-,
Interest income,41,61,-33%
Valuation gains,"2,706","2,033",33%
Other income,10,23,-59%
Investment income,"4,055","2,203",84%
