Number,Effective date,Executive summary
"Amendment to IFRS 3,
‘Business combinations’
Definition of a business","Annual periods on or after 1 January
2020
(Published October 2018)","This amendment revises the definition of a
business. According to feedback received by
the IASB, application of the current guidance is
commonly thought to be too complex, and it results
in too many transactions qualifying as business
combinations. More acquisitions are likely to be
accounted for as asset acquisitions.
To be considered a business, an acquisition would
have to include an input and a substantive process
that together significantly contribute to the ability
to create outputs. The new guidance provides
a framework to evaluate when an input and a
substantive process are present (including for early
stage companies that have not generated outputs).
To be a business without outputs, there will now
need to be an organised workforce."
"Amendment to IAS 1,
‘Presentation of financial
statements’ and IAS 8,
‘Accounting policies,
changes in accounting
estimates and errors’ on
the definition of material","Annual periods beginning on or after
1 January 2020
(Published October 2018)","These amendments to IAS 1 and IAS 8 and
consequential amendments to other IFRSs:
- use a consistent definition of materiality through
IFRSs and the Conceptual Framework for Financial
Reporting;
- clarify the explanation of the definition of material;
and
- incorporate some of the guidance in IAS 1 about
immaterial information.
The amended definition is:
“Information is material if omitting, misstating
or obscuring it could reasonably be expected to
influence decisions that the primary users of general
purpose financial statements make on the basis of
those financial statements, which provide financial
information about a specific reporting entity.”"
"Amendments to IFRS 9,
‘Financial Instruments’,
IAS 39, ‘Financial
Instruments: Recognition
and Measurement’
and IFRS 7, ‘Financial
Instruments: Disclosure’
– Interest rate benchmark
reform (Phase 1)","Annual periods beginning on or after
1 January 2020 (early adoption is
permitted)
(Published September 2019)","These amendments provide certain reliefs in
connection with interest rate benchmark reform
(IBOR). The reliefs relate to hedge accounting and
have the effect that IBOR should not generally cause
hedge accounting to terminate. However, any hedge
ineffectiveness should continue to be recorded in
the income statement.
Management will engage with the financiers upon
obtaining clarification of the next benchmark and
review the impact on our financial statements."
