"2021
Ksh'000
941,965
-",Column,"2021
Ksh'000
18,903
-"
"941,965","1,061,882","18,903"
"238,921
918,831","199,187
1,070,915","4,034
15,352"
"1,157,752","1,270,102","19,386"
"1,061,882
145,196
(265,113)","1,193,532
155,308
(286,958)","23,786
-
(4,883)"
"941,965","1,061,882","18,903"
"1,151,994
145,196
6,588
(279,616)","1,347,308
140,551
13,434
(349,299)","24,112
-
1,628
(6,353)"
"1,157,752","1,270,102","19,386"
"244,630
20,483","262,861
24,097","4,883
-"
"265,113","286,958","4,883"
"6,588","13,434",-
