"190,730","233,435",-,-,"517,270","376,816","1,318,251"
"76,565",-,-,-,-,-,"76,565"
"3,812","1,842",-,-,-,"(45,894)","(40,240)"
"2,957,178",-,-,-,"(40,687)","32,549","2,949,040"
"(162,192)","3,485,398",(460),"(94,298)","757,353","3,410,074","7,395,875"
"3,066,093","3,720,675",(460),"(94,298)","1,233,936","3,773,545","11,699,491"
"(413,071)",-,-,"(288,605)","32,214",-,"(669,463)"
"(121,229)","(179,438)","(24,307)","(159,875)","(116,398)","(266,187)","(867,434)"
"(347,944)","(335,575)",0,"(189,049)",(672),"(286,746)","(1,159,986)"
"2,183,848","3,205,663","(24,767)","(731,827)","1,149,081","3,220,612","9,002,608"
70.5%,72.8%,(0.9%),(1.5%),32.8%,110.2%,51.0%
50.2%,62.7%,(48.3%),(11.7%),30.6%,94.1%,39.3%
"7,162,166","5,178,720","51,924","9,140,780","3,807,469","3,470,378","28,811,437"
"(2,719,054)",-,-,"(2,773,076)",-,-,"(5,492,130)"
"(95,234)","(68,860)",(690),"(121,543)","(50,627)","(46,145)","(383,099)"
"4,347,878","5,109,860","51,234","6,246,161","3,756,842","3,424,233","22,936,208"
"10,789,524","9,118,489","1,839,528","9,194,350","3,936,322","6,449,579","41,327,792"
"(5,340,085)",-,-,"(2,857,690)","628,500",-,"(7,569,275)"
"(501,011)","(468,421)","(26,800)","(323,000)","(57,349)","(443,120)","(1,819,701)"
"4,948,428","8,650,068","1,812,728","6,013,660","4,507,473","6,006,459","31,938,816"
,,,,,,"9,002,608"
