Company,"Country of
incorporation",Classification,Principal activity
Athena properties Limited,Kenya,"Investment
operations","End-to-end project and development
management services for real estate projects"
Rasimu Limited,Kenya,"Investment
operations","Investment holding company. At 31 March 2018, the
company’s sole holding was a 3.65% stake in Two Rivers
Development Limited"
Pearl Marina Estates Limited,Uganda,"Investment
operations",Real estate development in Uganda
Two Rivers Development Limited,Kenya,"Investment
operations","Real estate development. The company is
developing the Two Rivers project in Nairobi. The company
holds a joint controlling stake of 50% at Two Rivers Lifestyle
Center Limited and a 100% stake in Two Rivers Luxury
Apartments Limited, Two Rivers Power Company Limited,
Two Rivers Water and Sewerage Company Limited, Two
Rivers Property Owners Limited, Two Rivers Office Suites
Limited, Two Rivers Development Phase 2 Limited and Two
Rivers Theme Park Limited."
Uhuru Heights Limited,Kenya,"Investment
operations","The company is an investment holding company . At 31
March 2018, the company’s holdings were a 1.05% stake in
Two Rivers Development Limited and investment property"
Centum Exotics Limited,Mauritius,"Investment
operations","The company is engaged in investment in quoted private
equity investments. At 31 March 2018, the company held
100% stake in Oleibon Investments Limited."
Centum Development Limited,Mauritius,"Investment
operations","The company is an investment holding company for real
estate development. At 31 March 2018, the company’s sole
holding was in Pearl Marina
Estates Limited"
Nabo Capital Limited,Kenya,"Financial
services","The company is involved in fund management and
transaction advisory services."
Investpool Holdings Limited,Mauritius,"Investment
operations","Investment Holding Company. At 31 March 2018, the
company held 100% of Kilele Holdings
Limited that is a private equity holding company and Mvuke
Limited that is a special purpose
vehicle to explore Geothermal opportunities in Africa."
GenAfrica Asset Managers Limited,Kenya,"Financial
services","Provision of fund management services. Currently carried
as asset held for sale."
Centum Business Solutions Limited,Kenya,"Investment
operations","Provision of shared services to Centum
Investment Company Plc and its subsidiaries."
King Beverages Limited,Kenya,Trading,"Importation, distribution and sale of alcoholic beverages"
Almasi Beverages Limited,Kenya,Trading,"Investment holding company for Mount Kenya Bottlers, Kisii
Bottlers and Rift Valley Bottlers
Limited. The principal activity of these
subsidiaries is to bottle and market soft drinks under a
franchise from the Coca-Cola Company."
Bakki Holdco Limited,Kenya,"Financial
services","Holding company for the Group’s investment in Sidian Bank
Limited."
Vipingo Development Limited,Kenya,"Investment
operations",Real estate development
Vipingo Estates Limited,Kenya,"Investment
operations",Real estate development
Greenblade Growers Limited,Kenya,Trading,Agricultural production
