UN SDGs addressed,Our Initiatives,Impact
,"Vipingo Scholarships: 50 bright and needy
students from the Vipingo community awarded
1. scholarships bringing the total number of
beneficiaries to date to 250 students.
Kazdinuni and Mukwajuni primary schools in
Vipingo area were refurbished in the year and
2. their libraries fully equipped with textbooks in
partnership with Longhorn Publisher.
Other scholarships awarded to students at
Kianda School and Alliance High School.
3.
Partnered with Davis & Shirtliff to install solar-
powered water pumps at Mathari Primary.
4. This added to the massive infrastructure
investment we have made in the school since
2017 to provide 32 classrooms, library, science
and computer laboratories, social hall and an
administration block at over Ksh 180 million."," 250 students have benefited from
our secondary school scholarship
programmes to date, enabling them to
pursue their dreams.
 We have to date improved the
infrastructure of Mathari Primary school
and four other schools in Vipingo with
an aggregate capacity of 2,500 students
thereby enhancing the quality of their
learning environment."
,"Installed Ksh 467 million Vipingo sea water
desalination plant with a capacity of 3 million
1. liters per day (Phase 1).
We run the Two Rivers water treatment plant
with an installed capacity of 2 million liters per
2. day."," Millions of visitors and thousands of
residents of Two Rivers and Vipingo are
assured of safe clean water and highest
standards of sanitation.
 Neighboring residents such as
Githongoro informal settlement and the
Vipingo community now have access
to clean water for domestic use and
enhanced sanitation."
,"Vipingo development launched a fully
sponsored vocational technical training
1. program which is aimed at equipping youth
from the neighboring community with
technical skills to gain access to employment
opportunities.
Ajiry platform developed by Tribus-TSG
(a Centum subsidiary) with objective of
2. addressing the youth unemployment challenge
and has rolled out:
 Ajiry App launched in May 2019 provides
a platform where skilled and semi-skilled
job seekers easily connect to potential
employers.
 Ajiry Centres in 14 counties to provide self-
employed youth with training in business,
financial literacy, and access to markets for
their products and services."," 102 beneficiaries have graduated from
our Vipingo Technical Training program
and secured gainful employment within
and beyond Vipingo Development.
 Ajiry App has enlisted over 30,000 skills,
advertised more than 10,000 jobs, and
connected over 7,534 job seekers to
opportunities."
