Key Pillars,Strategic Objectives (FY2022 – FY2024)
"1. Capital Structure &
Liquidity"," Pay down the balance of Kes 3 billion long term debt.
 To generate annuity cash return sufficient to cover operating costs, finance costs, dividend
payments and retain a surplus for reinvestment in growth portfolio."
"2. Return and Dividend
Pay-out"," Generate 20% annualized return and grow Net Asset Value to Kes 70 billion by FY2024.
 Distribute to shareholders a minimum of 30% of annuity cash income."
3. Operating Costs, Maintain operating costs at below 30% of annuity income earned.
"4. Organizational
effectiveness"," Fully adopt a supervisory approach to portfolio management which will ensure all portfolio
companies attain operational independence and are well prepared for exit."
5. Portfolio Focus," Rebalance portfolio to achieve the following sectoral allocations:
• Real Estate portfolio (30-35%)
• Private Equity portfolio (35-45%)
• Marketable Securities portfolio (20-30%)"
