Almasi Beverages Limited,53.88%,FMCG,"8,697","8,697",FV3: Multiples - EV1/EBITDA,6.94x
Nairobi Bottlers Limited,27.60%,FMCG,"5,078","5,078",FV3: Multiples - EV1/EBITDA,6.94x
Sidian Bank Limited,77.02%,Financial Services,"3,870","3,891",FV3: Multiples P/B2,1.16x
Isuzu (E.A.) Limited,17.80%,“Others”,"2,026","2,470",FV3: Recent price,
GenAfrica Limited,73.35%,Financial Services,-,"2,324",Exit Completed,
Nabo Capital Limited,100.00%,Financial Services,668,494,Net Asset Value,
NAS Servair,15.00%,“Others”,856,856,FV3: Multiples,4.19x
Longhorn Kenya Limited,60.20%,“Others”,812,763,Market price,
"Centum Business Solutions
Limited",100.00%,“Others”,632,408,Net Asset Value,
Zohari Leasing Limited,100.00%,Financial Services,220,213,Net Asset Value,
"Others (PPE, Receivables)",,,634,119,,
Total,,,"23,493","25,313",,
