item,status,Delivery Date
existing title obtained,√,January 2011
"Change of user Approval - nairobi
City Council",√,December 2011
"Master Plan Approval - nairobi City
Council",√,December 2011
Riparian Reserve Approval - WRMA,√,March 2012
Master Plan eiA Approval - neMA,√,May 2012
Borehole (1) Approval - WRMA,√,May 2012
"Change of user Consent -
Commissioner of lands",√,July 2012
Borehole (3) Approval - WRMA,√,April 2013
"new titleApproval - Ministry of
lands",√,May 2013
"temporary Construction Access
Approval - KuRA",√,June 2013
"Ammended Master Plan Approval -
nairobi City Council",√,July 2013
"Design Approval for Roadwork’s -
nairobi City Council",√,August 2013
"Design Approval for Gate house
and Perimeter Fence - nairobi City
Council",√,August 2013
"Retail Building Approval - nairobi
City Council",√,August 2013
Access eiA Approval - neMA,√,August 2013
Retail eiA Approval - neMA,√,August 2013
