Rank,Name,31 March 2015,Column,31 March 2014,Column
,,Total Shares,%,Total Shares,%
,,"160,023,688",24.05%,,
,,"152,847,897",22.97%,,
,,"11,062,424",1.66%,,
,,"10,914,900",1.64%,,
,,"10,436,278",1.57%,,
,,"8,438,922",1.27%,,
,,"5,949,035",0.89%,,
,,"5,908,221",0.89%,,
,,"5,427,285",0.82%,,
,,"5,000,000",0.75%,,
