Column,Column,FY 0910,Column,Column,Column
No.,Name,"Number of
Shares","%
Holding","Number of
Shares
FY 0",809
1.,Industrial and Commercial Corporation Development (ICDC),"129,304,130",23.51%,"129,304,130","23.51%
%"
2.,Christopher John Kirubi,"96,344,670",17.52%,"91,287,790","Holding
16.60%"
3.,Stanbic Nominees Ltd A/C R48701*,"29,385,490",5.34%,"29,385,490",5.34%
4.,Kiruma International Ltd**,"28,348,995",5.15%,"28,348,995",5.15%
5.,International House Ltd**,"23,051,050",4.19%,"23,051,050",4.19%
6.,Jubilee Insurance Company of Kenya Ltd,"4,603,050",0.84%,"4,315,650",0.78%
7.,Barclays (K) Nominees Ltd A/C 1256,"4,289,880",0.78%,"4,289,880",0.78%
8.,Barclays (K) Nominees Ltd A/C 1853,"2,604,940",0.47%,"2,604,940",0.47%
9.,John Kibunga Kimani,"2,533,130",0.46%,"2,365,130",0.43%
10.,Stanbic Nominees (K) Ltd A/C R48703*,"2,235,130",0.41%,"2,058,000",0.37%
,Total Top Ten Shareholders,"322,700,465",58.68%,"314,953,055",57.27%
,"Other 37,500 shareholders","227,251,365",41.32%,"234,998,775",42.73%
,Total Issued Shares,"549,951,830",100.00%,"549,951,830",100.00%
