Year,"Centum NAV
Return","NSE 20
Return","Centum Out-
performance"
2010,56%,43%,13%
2011,37%,-4%,41%
2012,9%,-13%,22%
2013,19%,44%,-26%
2014,42%,2%,40%
"Geometric
Average",31%,12%,19%
"Aggregated
return",291%,75%,216%
