Ksh Millions,Mar-24,Mar-23,%∆
,"47,432
320
-
331","36,889
348
4,238
262","29%
-8%
-100%
26%"
Total Assets,"48,083","41,737",15%
,"1,951
5,090","2,248
3,522","-13%
45%"
Total Liabilities,"7,041","5,770",22%
Total Equity,"41,042","35,968",14%
Total Equity and Liabilities,"48,083","41,738",15%
