Consolidated performance analysis,FY2022,FY2021,Column
,Kshs'000,Kshs'000,%Δ
Profit from trading business,"73,215","(529,034)",114%
Profit from real estate operations,"127,049","875,300",(85%)
Operating profit from financial services,"691,657","329,858",110%
"Operating loss from investment
operations","(547,975)","(1,149,055)",52%
Profit before tax (excl. TRDL),"343,946","(472,931)",173%
"Loss from Two Rivers investment
operations","(1,985,831)","(1,859,280)",(7%)
Group loss before tax,"(1,641,885)","(2,332,211)",30%
