Column,Column,Column,Column,Column,GROUP,Column,Column
,,,,30 September,,,
,,,,2015,,,2014
,,,Ksh 000,,,,Ksh 000
(e),Reconcilliation of total return to profit for the year,,,,,,
,Total return as per internal reporting,,"566,166",,,,"3,291,432"
,Adjustment for,,,,,,
,share of associate earnings,,"192,264",,,,"327,364"
,Share of other comprehensive income of associates,,"(8,569)",,,,-
,Associate dividend income,,"(71,370)",,,,"(180,737)"
,Unrealised value movements net of dividend relating to,"2,344,470",,,,"(146,627)",
,associates,,,,,,
,Total comprehensive income,,"2,295,819",,,,"3,291,433"
,Other comprehensive income,,"(1,115,370)",,,,"(2,061,714)"
,,"1,907,591",,,,"1,229,719",
,Profit for the period,,,,,,
