Consideration,RCL,PMEL
Market Opportunity,"• Prime location in a diplomatic cluster
• Congestion in the Nairobi CBD area;
• Scarcity of sizeable serviced land;
• Demand for property in the area;","• Serious congestion and sprawl in the
Kampala metro area;
• Growing presence of expatriate community;
• Proximity to Entebbe Airport;"
Approach,"• Competitive concept design process;
• PRINCE2 project management;
• Mixed use development (commercial,
residential, retail, hospitality, etc.)
• Phased development to start within 12
months;","• Competitive concept design process;
• PRINCE2 project management;
• Mixed use development (commercial,
residential, retail, etc)
• Phased development to start within 12
months;"
Funding Options,"• Acquisition of land fully funded;
• Sale of shares in RCL to investors;
• Debt financing at project level;
• Third party funds;
• Partnership with developers;","• Acquisition of land fully funded;
• Sale of shares in PMEL to investors;
• Debt financing at project level;
• Third party funds;
• Partnership with developers;"
Benefits,"• Easier to optimize development
program;
• Value uplift from phasing development;
• No restrictions on development options;","• Easier to optimize development program;
• Phased development enables value uplift;
• No restrictions on development options;"
Exit Options,"• Sale of leases to developers;
• Sale of shares in RCL to financial
investors;","• Sale of leases to developers;
• Sale of shares in PMEL to financial investors;"
