Reconciliation of profit/(loss) to cash flows,FY2020,Column,FY2021,Column,FY2022,Column,FY2023,Column,FY2024,Column,Total,Column,Column,Column,Column,Column,Column,Column
Reconciliation of profit/(loss) to cash flows,,FY2020,,FY2021,,FY2022,,FY2023,,FY2024,,,,,Total,,,
,"Kes Mn Kes Mn Kes Mn Kes Mn Kes Mn
(2,595) (826) 61 206 278
2,903 1,787 628 489 628
- 3,579 426 1,717 2,238
308 4,540 1,115 2,412 3,144
18,775 - - 830 3,495
19,083 4,540 1,115 3,242 6,638
(4,800) (2,072) (303) (1,099) (5,758)
(11,817) (3,729) (396) (2,102) (820)
(735) (763) (257) (415) (206)
- - - (37) (31)
(17,352) (6,564) (956) (3,653) (6,815)
1,731 (2,024) 159 (411) (176)
144 1,875 (149) 10 (401)
1,875 (149) 10 (401) (576)",,,,,,,,,,Kes Mn,,,,,,,
,,,,,,,,,,,,,,Kes Mn,,,,
,,,,,,,,,,,"(2,876)",,,,,,,
,,,,,,,,,,,,,,"(2,876)",,,,
,,,,,,,,,,,"6,435",,,,,,,
,,,,,,,,,,,,,,,"6,435",,,
,,,,,,,,,,,"7,960",,,,,,,
,,,,,,,,,,,,,,,"7,960",,,
,,,,,,,,,,,"11,519",,,,,,,
,,,,,,,,,,,,,,,"11,519",,,
,,,,,,,,,,,"23,100",,,,,,,
,,,,,,,,,,,,2,,,"3,100",,,
,,,,,,,,,,,"34,618",,,,,,,
,,,,,,,,,,,,,,"34,618",,,,
,,,,,,,,,,,"(14,032)",,,,,,,
,,,,,,,,,,,,,,"(14,032)",,,,
,,,,,,,,,,,"(18,864)",,,,,,,
,,,,,,,,,,,,(,,"18,864)",,,,
,,,,,,,,,,,"(2,376)",,,,,,,
,,,,,,,,,,,,,,"(2,376)",,,,
,,,,,,,,,,,(68),,,,,,,
,,,,,,,,,,,,,,,(68),,,
,,,,,,,,,,,"(35,340)",,,,,,,
,,,,,,,,,,,,,"(35,340)",,,,,
,,,,,,,,,,,(721),,,,,,,
,,,,,,,,,,,,,,,(721),,,
,,,,,,,,,,,144,,,,,,,
,,,,,,,,,,,,,,,,144,,
,,,,,,,,,,,(576),,,,,,,
,,,,,,,,,,,,,,,(57,,6,)
,"1,875 (149) 10 (400) (576)",,,,,,,,,,,,,,,,,
