Location,"Size
(Acres)","Average Market
Value / Acre"
Road Frontage,"4,250",KES 5.5 Mn
Beach Frontage,"1,245",KES 9 Mn
"1.5 KM from Road
Frontage","2,500",KES 4 Mn
"Over 2.5KM from road
frontage","2,259",KES 2.5 Mn
Total Area,"10,254",
