Column,GenAfrica,Platinum
Investment Year,2013,2012
Initial Investment (KES mn),"1,050",767
Total Dividends (KES mn),322,404
Exit Proceeds (KES mn),"2,324","2,692"
IRR (%),29%,31%
TMB,2.5X,4.0X
