"2009
Shs’000",Column,"2009
Shs’000"
(844 ),-,(844 )
-,"8,317",-
346,927,346
"1,359","1,080","1,359"
"12,121","12,121","12,121"
368,17,368
"14,194","22,462","14,194"
"13,350","22,462","13,350"
:,,
"22,462","16,760","22,462"
"(9,112 )","5,702","(9,112 )"
"13,350","22,462","13,350"
