Project Company,Year Acquired,Column,Description,Column
Uhuru Heights Limited,,1987/1988,,"• 0.6 acre undeveloped property located along
Uhuru Highway, between Laico Regency and
Utalii House;
• Currently managed as a public parking facility;"
"Runda Closeburn
Limited",,2010/2011,,"• 100 acres located in Nairobi’s most sought
after address and within the Gigiri diplomatic
complex;"
"Pearl Marina Estates
Limited",,2010/2011,,"• 300 acres located on the Garuga peninsula, off
the Entebbe-Kampala highway;"
