Kes. M,Sep2015,Mar2014
"Borrowings 6,228",,"5,492"
Payables and accruals 111,,225
Unclaimed dividends 29,,29
Current tax liability 3,,45
"6,372",,"5,791"
"Shareholder funds
26,838",,"22,936"
Equity & liabilities,"33,210","28,728"
